feature,importance
vix_spike,0.18618934
macd_hist,0.07670223
bb_width,0.061556164
vix_pct,0.05643189
trend,0.049857497
atr_ratio,0.047149535
dist_from_high_20,0.04683302
ret_10d,0.045406785
sell_pct,0.04479952
upper_wick,0.041444074
ret_5d,0.04121245
or_range,0.038595814
pcr_z,0.038447555
pct_b,0.035370693
rsi,0.03488531
dist_from_low_20,0.024431735
z20,0.023069914
body_pct,0.022343865
vix_change,0.019335968
stoch_k,0.018566033
bn_vs_nifty,0.016204158
ret_3d,0.012680724
lower_wick,0.009980259
fii_z,0.008505505
consec_up,0.0
vol_ratio,0.0
buy_pct,0.0
institutional_proxy,0.0
vwap_dev,0.0
intraday_trend,0.0
