n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
50,3,0.03,0.8,0.670416525968751,0.5893044630243462,UP,0.6048369407653809,0.39516305923461914
50,5,0.01,1.0,0.6708316786333769,0.5845715353705261,UP,0.5211237072944641,0.4788762927055359
100,5,0.01,1.0,0.6711558167290296,0.5825568803355377,UP,0.6069217920303345,0.3930782079696655
100,3,0.01,1.0,0.6716138876417675,0.5899888410648813,UP,0.5537418723106384,0.4462581276893616
50,5,0.01,0.8,0.6724989541859299,0.591338357602643,UP,0.5210711359977722,0.4789288640022278
50,3,0.01,1.0,0.6726329953266249,0.592019987136991,DOWN,0.4941449761390686,0.5058550238609314
50,9,0.01,0.8,0.6728847407988544,0.589312708542907,UP,0.5106222629547119,0.4893777370452881
100,3,0.01,0.8,0.6730591474412032,0.5872760654584234,UP,0.5434249639511108,0.45657503604888916
50,9,0.01,1.0,0.6733710869405796,0.5852476678925004,DOWN,0.4649403393268585,0.5350596904754639
50,7,0.01,1.0,0.6734109008749604,0.5893099600367201,DOWN,0.47072190046310425,0.5292780995368958
50,3,0.01,0.8,0.6734921807923615,0.5940483847029139,DOWN,0.48796260356903076,0.5120373964309692
150,3,0.01,0.8,0.6736681410470591,0.5872788139646102,UP,0.5655410885810852,0.4344589114189148
50,7,0.01,0.8,0.6738922552574773,0.5893099600367201,UP,0.5266508460044861,0.4733491539955139
150,3,0.01,1.0,0.6739860021333811,0.58930996003672,UP,0.5861864686012268,0.4138135313987732
50,7,0.01,0.5,0.6742060141455651,0.5933722521809396,UP,0.5124213099479675,0.48757869005203247
100,5,0.01,0.8,0.6744754852969709,0.5886365760209326,UP,0.5695319175720215,0.4304680824279785
50,5,0.01,0.5,0.6745995674987485,0.5940483847029139,DOWN,0.4982748031616211,0.5017251968383789
50,5,0.03,1.0,0.6746421899934484,0.5717277659592012,UP,0.6179155707359314,0.3820844292640686
50,3,0.03,1.0,0.6747019363944134,0.5879549464865845,UP,0.5806311368942261,0.4193688631057739
100,3,0.03,0.8,0.6747103039743809,0.5845715353705261,UP,0.6475502848625183,0.3524497151374817
200,3,0.01,0.8,0.6749004762907588,0.5865999329364491,UP,0.5962696671485901,0.4037303328514099
50,3,0.01,0.5,0.6749181922367563,0.5940483847029139,DOWN,0.4712827205657959,0.5287172794342041
150,5,0.01,1.0,0.6755655207081812,0.566313208771033,UP,0.6276944279670715,0.37230557203292847
200,3,0.01,1.0,0.6756518775648175,0.5845660383581524,UP,0.6153507828712463,0.38464921712875366
100,5,0.01,0.5,0.6761641205487062,0.5872733169522365,UP,0.5431967973709106,0.45680320262908936
100,3,0.01,0.5,0.6764663319543316,0.5886310790085588,UP,0.5135241150856018,0.4864758849143982
50,9,0.01,0.5,0.6765625910845451,0.5933750006871267,DOWN,0.49188172817230225,0.5081182718276978
250,3,0.01,0.8,0.6766731047490079,0.5832165218203906,UP,0.6106834411621094,0.3893165588378906
100,7,0.01,0.5,0.6768904558383951,0.579154229676171,UP,0.5589502453804016,0.4410497546195984
150,3,0.01,0.5,0.6769681204604293,0.593366755168566,UP,0.5527401566505432,0.4472598433494568
150,5,0.01,0.8,0.6770027342988679,0.5811908727606546,UP,0.6041770577430725,0.3958229422569275
100,7,0.01,0.8,0.6770099069689582,0.5744240505285377,UP,0.5896415114402771,0.4103584885597229
50,3,0.05,0.8,0.6772476874005768,0.5723984014688017,UP,0.6073417663574219,0.3926582336425781
250,3,0.01,1.0,0.6774044487686854,0.5744103079976033,UP,0.6362816095352173,0.3637183904647827
50,5,0.03,0.8,0.6776764792626698,0.5751056800628858,UP,0.6437981128692627,0.3562018871307373
50,3,0.05,1.0,0.6778641020300186,0.5805147402386802,UP,0.6477394700050354,0.3522605299949646
50,3,0.03,0.5,0.6780792520005926,0.5818670052826289,UP,0.5345782041549683,0.46542179584503174
150,5,0.01,0.5,0.6781215472588049,0.5832110248080168,UP,0.594581663608551,0.405418336391449
300,3,0.01,0.8,0.6783562525639905,0.577125832110248,UP,0.6236981749534607,0.3763018250465393
100,9,0.01,0.8,0.6787146314193038,0.5683306123122084,UP,0.5670005083084106,0.43299949169158936
